DEPARTAMENTO,Municipio ,ID Estación,Estación,LONGITUD,LATITUD,Elevación,AÑO,EST,ENT,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOST,SEPTI,OCTUB,NOVIE,DICIE,VR ANUAL
BOYACA,Puerto Boyacá,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1989,1,1,257.6,161.2,135.4,437.7,279.9,238.1,191.3,275.6,280.8,426.6,189.3,109.1,2982.6
BOYACA,Puerto Boyacá,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1990,1,1,105.0,31.7,154.3,437.7,195.6,91.6,161.0,154.0,147.5,370.8,104.9,89.0,2043.1
BOYACA,Puerto Boyacá,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1991,1,1,61.1,93.8,154.9,255.2,242.2,137.2,157.4,165.3,226.9,145.4,79.1,37.5,1756.0
BOYACA,Puerto Boyacá,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1992,1,1,32.7,49.2,155.2,105.4,152.1,50.0,40.6,,212.9,335.5,164.3,175.9,1626.0
BOYACA,Puerto Boyacá,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1993,1,1,86.1,52.8,205.6,190.0,291.4,42.9,136.7,74.2,367.2,134.2,310.6,72.5,1964.2
BOYACA,Puerto Boyacá,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1994,1,1,28.6,262.6,339.3,419.7,114.6,35.0,130.0,244.1,222.7,172.9,540.6,13.8,2523.9
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1995,1,1,78.8,8.4,242.9,269.9,207.9,168.9,276.8,292.7,258.6,132.9,274.1,141.4,2353.3
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1996,1,1,54.3,185.4,161.1,244.3,299.6,233.9,184.5,117.6,157.6,213.9,94.9,193.9,2141.0
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1997,1,1,65.9,200.5,47.7,233.6,,108.9,32.2,69.5,326.2,275.4,160.6,8.0,1590.4
BOYACA,Puerto Boyaca,23110030,PTO NIño,-74.349999999999994,5.5599999999999996,150,1998,1,1,65.4,8.3,203.3,209.9,428.3,238.9,162.4,166.9,179.7,281.6,139.6,220.3,2304.6
BOYACA,Puerto Boyaca,23110030,PTO NIño,-74.349999999999994,5.5599999999999996,150,1999,1,1,154.7,245.8,126.3,255.1,172.1,256.9,67.9,181.1,362.6,181.4,229.4,116.0,2349.3
BOYACA,Puerto Boyaca,23110030,PTO NIño,-74.349999999999994,5.5599999999999996,150,2000,1,1,44.9,175.9,177.6,204.7,370.4,176.1,192.3,53.1,369.2,279.4,,117.9,2274.3
BOYACA,Puerto Boyaca,23110030,PTO NIño,-74.349999999999994,5.5599999999999996,150,2001,1,1,102.7,67.0,321.3,69.4,316.1,138.6,141.9,13.1,320.8,177.8,115.6,181.8,1966.1
BOYACA,Puerto Boyaca,23110030,PTO NIño,-74.349999999999994,5.5599999999999996,150,2002,1,1,64.7,99.3,216.9,319.7,192.7,163.0,113.3,124.3,134.9,425.2,213.1,73.6,2140.7
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,2003,1,1,11.0,109.8,167.9,283.2,257.6,380.0,68.7,157.2,195.9,340.9,242.2,183.9,2398.3
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,2004,1,1,33.7,7.9,157.0,309.7,346.4,87.0,206.3,60.9,589.9,337.7,225.7,173.3,2535.5
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,2005,1,1,47.8,33.3,,271.4,306.1,,76.5,127.9,229.4,534.7,306.2,98.0,2512.4
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,2006,1,1,50.4,63.6,317.6,231.6,305.4,263.7,132.7,,240.1,153.3,220.9,328.7,2308.0
